,Código pai,Código,Descrição,Unidade,Coeficiente,Preço,Total
16530,C5075,G0008,"ALARGADOR FLUTED  4,5"" PARA FURO DIRECIONAL",UN,0.0001,14588.72,1.4588720000000002
16531,C5075,G0018,"ALARGADOR SPIRAL  4,5"" PARA FURO DIRECIONAL",UN,0.0001,14588.72,1.4588720000000002
16532,C5075,G0041,BARRILHA LEVE,KG,0.0205,4.3,0.08815
16533,C5075,G0042,BETONITA ATIVADA E DE ALTO DESEMPENHO PARA FURO DIRECIONAL HDD,KG,1.2828,1.11,1.423908
16534,C5075,G0043,BIOPOLIMERO GAMA XANTANA PARA FURO DIRECIONAL,KG,0.0103,44.88,0.462264
16535,C5075,G0127,DISPERSANTE A BASE DE POLIFOSFATO TENSOATIVADO (TENSOATIVO NÃO-IÔNICO) DESTINADO A REMOÇÃO DE DISPERSÃO DE BENTONITA E ARGILAS NATURAIS E TAMBÉM PARA USO NA PUXADA EM PERFURAÇÃO DIRECIONAL HDD EM SOLOS ARGILOSOS,KG,0.0103,17.31,0.178293
16536,C5075,G0177,LUBRIFICANTES  BIODEGRADAVEL PARA SOLOS   PARA FURO DIRECIONAL HDD,L,0.0205,29.66,0.6080300000000001
16537,C5075,G0229,"PÁ DE CORTE 4.5"" PARA FURO DIRECIONAL",UN,0.003,1126.81,3.38043
16538,C5075,G0248,POLIACRILAMIDA PARCIALMENTE HIDROLISADA(PHPA) EMULSÃO INIBIDOR PARA FURO DIRECIONAL HDD CONCEBIDO PARA USO COM BETONITA,L,0.0513,29.36,1.506168
16539,C5075,G0249,"POLIMERO DE CARBOXIMETILCELULOSE DE SODIO (CMC), CONTROLE DE FILTRAGEM PARA FURO DIRECIONAL (HDD)",KG,0.0411,43.24,1.777164
16540,C5076,C5076,"SERVIÇO DE INSTALAÇÃO DE MANTA TERMOCONTRATIL PARA DUTO DE 2"" COM INSPEÇÃO, FITA E REPAROS COM BASTÃO, MASTIC E MANCHÃO DO REVESTIMENTO COMPLETO DA TUBULAÇÃO", UN,,,
16541,C5076,G0428,"HOLIDAY DETECTOR DE FALHA DE REVESTIMENTO EM MANTA TERMOCONTRÁTIL - VOLTAGEM DE 12 KV A 20 KV, DE CORRENTE PULSANTE, VIA SECA, CONFORME NORMA NACE STANDARD RP-0274 (CHP)",H,0.0259,1.4514612,0.03759284508
16542,C5076,G0429,"HOLIDAY DETECTOR DE FALHA DE REVESTIMENTO EM MANTA TERMOCONTRÁTIL - VOLTAGEM DE 12 KV A 20 KV, DE CORRENTE PULSANTE, VIA SECA, CONFORME NORMA NACE STANDARD RP-0274 (CHI)",H,0.4918,0.9824611999999999,0.48317441816
16543,C5076,G0436,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHP)",H,0.2588,5.5984102857142855,1.448868581942857
16544,C5076,G0437,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHI)",H,0.2588,0.38405314285714287,0.09939295337142856
16545,C5076,I0737,ESMERILHADEIRA INDUSTRIAL (CHP),H,0.2588,0.21402871,0.055390630148
16546,C5076,I0037,AJUDANTE,H,0.5176,18.63,9.642888
16547,C5076,I0092,APLICADOR REVESTIMENTO,H,0.5176,23.17,11.992792
16548,C5076,G0128,"ESCOVA DE AÇO COPO TRANÇADA 4 1/2""",UN,0.1,26.64,2.664
16549,C5076,I1218,GAS,KG,0.26,6.38,1.6588
16550,C5076,I1346,LIXA PARA FERRO,UN,0.2,1.69,0.338
16551,C5077,C5077,"CARGA, TRANSPORTE, DESCARGA, DESFILE, SOLDA INCLUSIVE NOS TIE-IN E CONEXÕES, INSPEÇÃO VISUAL COM ACOMPANHAMENTO DE INSPETOR DE SOLDA, DESCIDA DA COLUNA NA VALA OU COLOCAÇÃO NOS ROLETES DO FURO DIRECIONAL DE DUTOS EM AÇO CARBONO DN 3"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL","IN E CONEXÕES, INSPEÇÃO VISUAL COM ACOMPANHAMENTO DE INSPETOR DE SOLDA, DESCIDA DA COLUNA NA VALA OU COLOCAÇÃO NOS ROLETES DO FURO DIRECIONAL DE DUTOS EM AÇO CARBONO DN 3"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL ",,,
16552,C5077,G0442,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHP),H,0.0058,0.23671757999999998,0.0013729619639999999
16553,C5077,G0443,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHI),H,0.1111,0.13135757999999997,0.014593827137999999
16554,C5077,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,0.0889,46.04095602666666,4.093040990770667
16555,C5077,I0628,GRUPO GERADOR 36 KVA (CHI),H,0.0819,24.363654441666668,1.9953832987725
16556,C5077,I0635,MÁQUINA DE SOLDA (CHI),H,0.0819,0.03838722,0.003143913318
16557,C5077,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,0.0791,129.14623602666666,10.215467269709334
16558,C5077,I0737,ESMERILHADEIRA INDUSTRIAL (CHP),H,0.0058,0.21402871,0.001241366518
16559,C5077,I0742,GRUPO GERADOR 36 KVA (CHP),H,0.0351,54.794662775,1.9232926634025
16560,C5077,I0749,MÁQUINA DE SOLDA (CHP),H,0.0351,0.06103722,0.002142406422
16561,C5077,G0405,INSPETOR DE SOLDA N1/EV-N2-S-SNQC (CEGÁS),H,0.117,35.48,4.15116
16562,C5077,I0037,AJUDANTE,H,0.3849,18.63,7.170687
16563,C5077,I1530,MONTADOR,H,0.117,23.17,2.71089
16564,C5077,I2325,ESMERILHADOR,H,0.117,23.17,2.71089
16565,C5077,I2424,SOLDADOR RAIO X,H,0.117,29.63,3.4667100000000004
16566,C5077,I2510,ENCARREGADO DE SERVIÇOS,H,0.117,30.93,3.6188100000000003
16567,C5077,G0002,"ACOPLADEIRA EXTERNA EM AÇO PARA SOLDA EM TUBOS EM AÇO CARBONO DN  3""",UN,0.0001,645.08,0.06450800000000001
16568,C5077,G0039,ARGÔNIO,M3,0.0051,33.08,0.16870800000000002
16569,C5077,G0126,"DISCO DE CORTE  DE 7"" PARA TUDOS DE AÇO CARBONO",UN,0.0012,6.59,0.007908
16570,C5077,G0128,"ESCOVA DE AÇO COPO TRANÇADA 4 1/2""",UN,0.0034,26.64,0.09057599999999999
16571,C5077,G0250,PONTA MONTADA ABRASIVA TIPO A-21,UN,0.0001,11.08,0.001108
16572,C5077,G0404,VARETA PARA SOLDA TIG ER70-S3,KG,0.0068,21.92,0.149056
16573,C5077,I0967,DISCO DE DESBASTE DE 7',UN,0.0068,18.21,0.123828
16574,C5077,I1061,ELETRODOS,KG,0.0001,18.19,0.001819
16575,C5078,C5078,"FURO DIRECIONAL E PUXE PARA DUTO EM AÇO CARBONO DN 3"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL", MÉTODO NÃO DESTRUTIVO (MND) ,,,
16576,C5078,G0415,MÁQUINA DE FURO DIRECIONAL COM PULL-BACK DE 24000  LIBRAS (10.000KGF) (CHP),H,0.0141,358.50393624000003,5.054905500984
16577,C5078,G0416,MÁQUINA DE FURO DIRECIONAL COM PULL-BACK DE 24000  LIBRAS (10.000KGF) (CHI),H,0.157,144.52359624000002,22.690204609680002
16578,C5078,G0422,SISTEMA MISTURA A DÍESEL PARA FURO DIRECIONAL TANQUE DE 1000 GL (CHP),H,0.02,49.99986774,0.9999973548000001
16579,C5078,G0423,SISTEMA MISTURA A DÍESEL PARA FURO DIRECIONAL TANQUE DE 1000 GL (CHI),H,0.1511,19.48604774,2.9443418135140003
16580,C5078,G0425,"LOCALIZADOR PARA FURO DIRECIONAL, COM RECEPTOR, DISPLAY REMOTO COM SONDA/TRANSMISSOR, ALCANCE APROXIMADO COM PITCH E FREQUÊNCIA (CHP)",H,0.01,22.507336425,0.22507336425
16581,C5078,G0426,"LOCALIZADOR PARA FURO DIRECIONAL, COM RECEPTOR, DISPLAY REMOTO COM SONDA/TRANSMISSOR, ALCANCE APROXIMADO COM PITCH E FREQUÊNCIA (CHI)",H,0.1611,15.108961424999999,2.4340536855674997
16582,C5078,G0428,"HOLIDAY DETECTOR DE FALHA DE REVESTIMENTO EM MANTA TERMOCONTRÁTIL - VOLTAGEM DE 12 KV A 20 KV, DE CORRENTE PULSANTE, VIA SECA, CONFORME NORMA NACE STANDARD RP-0274 (CHP)",H,0.1369,1.4514612,0.19870503827999997
16583,C5078,G0429,"HOLIDAY DETECTOR DE FALHA DE REVESTIMENTO EM MANTA TERMOCONTRÁTIL - VOLTAGEM DE 12 KV A 20 KV, DE CORRENTE PULSANTE, VIA SECA, CONFORME NORMA NACE STANDARD RP-0274 (CHI)",H,0.0342,0.9824611999999999,0.03360017304
16584,C5078,G0458,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHP)",H,0.01,4.011317541666667,0.04011317541666667
16585,C5078,G0459,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHI)",H,0.1611,0.626150875,0.1008729059625
16586,C5078,I0575,CAMINHÃO ADAPTADO A VACUO (CHI),H,0.1411,46.964159800000004,6.626642947780001
16587,C5078,I0581,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHI),H,0.1471,46.719966666666664,6.872507096666667
16588,C5078,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,0.1471,46.04095602666666,6.772624631522667
16589,C5078,I0590,CAMINHÃO TANQUE 8.000 l (CHI),H,0.1471,51.54274264705882,7.581937443382354
16590,C5078,I0601,CAVALO MECÂNICO C/PRANC. 2 EIXOS (CHI),H,0.1471,72.21713888888888,10.623141130555556
16591,C5078,I0653,RETRO ESCAVADEIRA DE PNEUS (CHI),H,0.1591,42.23726322794118,6.7199485795654414
16592,C5078,I0698,CAMINHÃO TANQUE 8.000 l (CHP),H,0.024,162.35756617647058,3.896581588235294
16593,C5078,I0702,CAMINHÃO ADAPTADO A VÁCUO (CHP),H,0.03,131.3185598,3.939556794
16594,C5078,I0703,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHP),H,0.024,130.74396666666667,3.1378552
16595,C5078,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,0.024,129.14623602666666,3.09950966464
16596,C5078,I0715,CAVALO MECÂNICO C/PRANC. 2 EIXOS (CHP),H,0.024,230.69136111111112,5.536592666666667
16597,C5078,I0725,COMPACTADOR DE PLACA VIBRATÓRIA HP 7 (CHP),H,0.01,44.274864916666665,0.4427486491666667
16598,C5078,I0765,RETRO ESCAVADEIRA DE PNEUS (CHP),H,0.012,107.25643969852942,1.287077276382353
16599,C5078,I0769,ROMPEDOR PNEUMÁTICO (CHP),H,0.006,24.8806,0.14928360000000002
16600,C5078,G0408,NAVEGADOR DE FURO DIRECIONAL (CEGÁS),H,0.1711,34.65,5.928615
16601,C5078,G0411,OPERADOR DE MÁQUINA DE FURO DIRECIONAL (CEGÁS),H,0.1711,31.76,5.434136
16602,C5078,I0037,AJUDANTE,H,0.8557,18.63,15.941691
16603,C5078,I0092,APLICADOR REVESTIMENTO,H,0.1711,23.17,3.964387
16604,C5078,I2510,ENCARREGADO DE SERVIÇOS,H,0.1711,30.93,5.292123
16605,C5078,G0008,"ALARGADOR FLUTED  4,5"" PARA FURO DIRECIONAL",UN,0.0001,14588.72,1.4588720000000002
16606,C5078,G0018,"ALARGADOR SPIRAL  4,5"" PARA FURO DIRECIONAL",UN,0.0001,14588.72,1.4588720000000002
16607,C5078,G0041,BARRILHA LEVE,KG,0.0205,4.3,0.08815
16608,C5078,G0042,BETONITA ATIVADA E DE ALTO DESEMPENHO PARA FURO DIRECIONAL HDD,KG,1.2828,1.11,1.423908
16609,C5078,G0043,BIOPOLIMERO GAMA XANTANA PARA FURO DIRECIONAL,KG,0.0103,44.88,0.462264
16610,C5078,G0127,DISPERSANTE A BASE DE POLIFOSFATO TENSOATIVADO (TENSOATIVO NÃO-IÔNICO) DESTINADO A REMOÇÃO DE DISPERSÃO DE BENTONITA E ARGILAS NATURAIS E TAMBÉM PARA USO NA PUXADA EM PERFURAÇÃO DIRECIONAL HDD EM SOLOS ARGILOSOS,KG,0.0103,17.31,0.178293
16611,C5078,G0177,LUBRIFICANTES  BIODEGRADAVEL PARA SOLOS   PARA FURO DIRECIONAL HDD,L,0.0205,29.66,0.6080300000000001
16612,C5078,G0229,"PÁ DE CORTE 4.5"" PARA FURO DIRECIONAL",UN,0.003,1126.81,3.38043
16613,C5078,G0248,POLIACRILAMIDA PARCIALMENTE HIDROLISADA(PHPA) EMULSÃO INIBIDOR PARA FURO DIRECIONAL HDD CONCEBIDO PARA USO COM BETONITA,L,0.0513,29.36,1.506168
16614,C5078,G0249,"POLIMERO DE CARBOXIMETILCELULOSE DE SODIO (CMC), CONTROLE DE FILTRAGEM PARA FURO DIRECIONAL (HDD)",KG,0.0411,43.24,1.777164
16615,C5071,C5071,"INSTALAÇÃO DE CONEXÕES, VÁLVULAS, ACESSÓRIOS E NIPLES COM ABERTURA E FECHAMENTO DE TIE-IN COM DISTÂNCIA DE ATÉ 2 METROS ENTRE PEÇAS E ACABAMENTO AO NÍVEL DO PISO PRONTO PARA REDE DE PEAD DN 110 MM, EM REDE DE GASODUTO, QUANDO UTILIZADO O LANÇAMENTO PELO MÉTODO NÃO DESTRUTIVO (MND)","IN COM DISTÂNCIA DE ATÉ 2 METROS ENTRE PEÇAS E ACABAMENTO AO NÍVEL DO PISO PRONTO PARA REDE DE PEAD DN 110 MM, EM REDE DE GASODUTO, QUANDO UTILIZADO O LANÇAMENTO PELO MÉTODO NÃO DESTRUTIVO (MND) ",,,
16616,C5071,G0436,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHP)",H,0.44,5.5984102857142855,2.4633005257142857
16617,C5071,G0437,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHI)",H,3.96,0.38405314285714287,1.5208504457142857
16618,C5071,G0439,MÁQUINA DE SOLDA ELETROFUSÃO (CHP),H,0.44,1.7176104000000003,0.7557485760000001
16619,C5071,G0440,MÁQUINA DE SOLDA ELETROFUSÃO (CHI),H,3.96,0.8914389714285715,3.5300983268571433
16620,C5071,G0458,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHP)",H,1,4.011317541666667,4.011317541666667
16621,C5071,G0459,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHI)",H,3.4,0.626150875,2.128912975
16622,C5071,I0581,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHI),H,3.52,46.719966666666664,164.45428266666667
16623,C5071,I0613,COMPRESSOR DE AR 170 PCM (CHI),H,3.96,32.05986079365079,126.95704874285714
16624,C5071,I0703,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHP),H,0.88,130.74396666666667,115.05469066666666
16625,C5071,I0725,COMPACTADOR DE PLACA VIBRATÓRIA HP 7 (CHP),H,1,44.274864916666665,44.274864916666665
16626,C5071,I0727,COMPRESSOR DE AR 170 PCM (CHP),H,0.44,91.97667825396826,40.46973843174603
16627,C5071,I0769,ROMPEDOR PNEUMÁTICO (CHP),H,0.6,24.8806,14.92836
16628,C5071,G0410,SUPERVISOR PEAD (CEGÁS),H,4.4,31.29,137.67600000000002
16629,C5071,I0037,AJUDANTE,H,8.8,18.63,163.94400000000002
16630,C5071,I1879,SOLDADOR,H,4.4,23.83,104.852
16631,C5071,I2510,ENCARREGADO DE SERVIÇOS,H,4.4,30.93,136.092
16632,C5071,G0139,FITA DE SINALIZAÇÃO COM TELA,M,2,4.83,9.66
16633,C5071,G0239,"PIG ESPUMA LIMPEZA LEVE, INVESTIGAÇÃO E SECAGEM PARA TUBO DE 110 MMEM ESPUMA DE POLIURETANO DE CELULAS ABERTAS, ALTA RESISTÊNCIA, BAIXA DENSIDADE , FORMADO PRÓJETIL,DIÂMETRO EFETIVO DE 106 MM X 210 MM, TOLERÂNCIA DE 2%",UN,5,40.43,202.15
16634,C5072,C5072,SERVIÇO DE PINÇAMENTOS PARA REDE DE DISTRIBUIÇÃO DE GÁS NATURAL EM PEAD DE DN 20MM ATÉ 63MM, UN,,,
16635,C5072,G0436,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHP)",H,0.44,5.5984102857142855,2.4633005257142857
16636,C5072,G0437,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHI)",H,3.96,0.38405314285714287,1.5208504457142857
16637,C5072,G0439,MÁQUINA DE SOLDA ELETROFUSÃO (CHP),H,0.44,1.7176104000000003,0.7557485760000001
16638,C5072,G0440,MÁQUINA DE SOLDA ELETROFUSÃO (CHI),H,3.96,0.8914389714285715,3.5300983268571433
16639,C5072,G0450,VEÍCULO LEVE PICK UP 4X4 - 147 KW (CHP),H,1.76,123.79222,217.8743072
16640,C5072,G0458,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHP)",H,1,4.011317541666667,4.011317541666667
16641,C5072,G0459,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHI)",H,1.2,0.626150875,0.75138105
16642,C5072,I0725,COMPACTADOR DE PLACA VIBRATÓRIA HP 7 (CHP),H,1,44.274864916666665,44.274864916666665
16643,C5072,I0769,ROMPEDOR PNEUMÁTICO (CHP),H,0.6,24.8806,14.92836
16644,C5072,G0465,SUPERVISOR PEAD C/ 30% DE PERICULOSIDADE INCLUSO (CEGÁS),H,4.4,35.74,157.256
16645,C5072,G0466,SOLDADOR DE PEAD C/ 30% DE PERICULOSIDADE INCLUSO (CEGÁS),H,4.4,26.31,115.76400000000001
16646,C5072,I0037,AJUDANTE,H,8.8,18.63,163.94400000000002
16647,C5072,I2510,ENCARREGADO DE SERVIÇOS,H,4.4,30.93,136.092
16648,C5072,G0139,FITA DE SINALIZAÇÃO COM TELA,M,2,4.83,9.66
16649,C5072,G0244,"PINÇADOR MECÂNICO PARA TUBOS DE PEAD, BITOLAS MÍNIMAS 32mm a 63mm DE ACORDO COM NORMA NBR 14473",UN,0.02,275.24,5.5048
16650,C5073,C5073,"CARGA, TRANSPORTE, DESCARGA, DESFILE, SOLDA INCLUSIVE DE CONEXÕES, INSPEÇÃO VISUAL COM ACOMPANHAMENTO DE INSPETOR DE SOLDA, DESCIDA DA COLUNA NA VALA DE DUTOS EM AÇO CARBONO, DN 1"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL", M,,,
16651,C5073,G0442,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHP),H,0.0049,0.23671757999999998,0.0011599161419999999
16652,C5073,G0443,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHI),H,0.0926,0.13135757999999997,0.012163711907999999
16653,C5073,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,0.0643,46.04095602666666,2.9604334725146666
16654,C5073,I0628,GRUPO GERADOR 36 KVA (CHI),H,0.078,24.363654441666668,1.90036504645
16655,C5073,I0635,MÁQUINA DE SOLDA (CHI),H,0.078,0.03838722,0.00299420316
16656,C5073,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,0.0332,129.14623602666666,4.287655036085333
16657,C5073,I0737,ESMERILHADEIRA INDUSTRIAL (CHP),H,0.0049,0.21402871,0.0010487406790000002
16658,C5073,I0742,GRUPO GERADOR 36 KVA (CHP),H,0.0195,54.794662775,1.0684959241125
16659,C5073,I0749,MÁQUINA DE SOLDA (CHP),H,0.0195,0.06103722,0.00119022579
16660,C5073,G0405,INSPETOR DE SOLDA N1/EV-N2-S-SNQC (CEGÁS),H,0.0975,35.48,3.4593000000000003
16661,C5073,I0037,AJUDANTE,H,0.1315,18.63,2.4498450000000003
16662,C5073,I1530,MONTADOR,H,0.0975,23.17,2.259075
16663,C5073,I2325,ESMERILHADOR,H,0.0975,23.17,2.259075
16664,C5073,I2424,SOLDADOR RAIO X,H,0.0975,29.63,2.888925
16665,C5073,I2510,ENCARREGADO DE SERVIÇOS,H,0.0975,30.93,3.015675
16666,C5073,G0039,ARGÔNIO,M3,0.0026,33.08,0.086008
16667,C5073,G0126,"DISCO DE CORTE  DE 7"" PARA TUDOS DE AÇO CARBONO",UN,0.0008,6.59,0.005272000000000001
16668,C5073,G0128,"ESCOVA DE AÇO COPO TRANÇADA 4 1/2""",UN,0.004,26.64,0.10656
16669,C5073,G0250,PONTA MONTADA ABRASIVA TIPO A-21,UN,0.0001,11.08,0.001108
16670,C5073,G0404,VARETA PARA SOLDA TIG ER70-S3,KG,0.0034,21.92,0.074528
16671,C5073,I0967,DISCO DE DESBASTE DE 7',UN,0.0046,18.21,0.083766
16672,C5073,I1061,ELETRODOS,KG,0.0001,18.19,0.001819
16673,C5074,C5074,"CARGA, TRANSPORTE, DESCARGA, DESFILE, SOLDA INCLUSIVE NOS TIE-IN E CONEXÕES, INSPEÇÃO VISUAL COM ACOMPANHAMENTO DE INSPETOR DE SOLDA, DESCIDA DA COLUNA NA VALA OU COLOCAÇÃO NOS ROLETES DO FURO DIRECIONAL DE DUTOS EM AÇO CARBONO DN 2"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL","IN E CONEXÕES, INSPEÇÃO VISUAL COM ACOMPANHAMENTO DE INSPETOR DE SOLDA, DESCIDA DA COLUNA NA VALA OU COLOCAÇÃO NOS ROLETES DO FURO DIRECIONAL DE DUTOS EM AÇO CARBONO DN 2"", SCH 40, API 5L PARA RAMAIS DE DISTRIBUIÇÃO DE GÁS NATURAL ",,,
16674,C5074,G0442,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHP),H,0.0054,0.23671757999999998,0.001278274932
16675,C5074,G0443,RETÍFICA RETA ELÉTRICA DE 650 W VELOCIDADE MÁXIMA 10000 A 28000 RPM (CHI),H,0.1019,0.13135757999999997,0.013385337401999998
16676,C5074,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,0.0857,46.04095602666666,3.945709931485333
16677,C5074,I0628,GRUPO GERADOR 36 KVA (CHI),H,0.0858,24.363654441666668,2.0904015510950003
16678,C5074,I0635,MÁQUINA DE SOLDA (CHI),H,0.0858,0.03838722,0.003293623476
16679,C5074,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,0.0726,129.14623602666666,9.376016735536
16680,C5074,I0737,ESMERILHADEIRA INDUSTRIAL (CHP),H,0.0054,0.21402871,0.0011557550340000001
16681,C5074,I0742,GRUPO GERADOR 36 KVA (CHP),H,0.0214,54.794662775,1.1726057833849999
16682,C5074,I0749,MÁQUINA DE SOLDA (CHP),H,0.0214,0.06103722,0.001306196508
16683,C5074,G0405,INSPETOR DE SOLDA N1/EV-N2-S-SNQC (CEGÁS),H,0.1072,35.48,3.803456
16684,C5074,I0037,AJUDANTE,H,0.3557,18.63,6.626691
16685,C5074,I1530,MONTADOR,H,0.1072,23.17,2.4838240000000003
16686,C5074,I2325,ESMERILHADOR,H,0.1072,23.17,2.4838240000000003
16687,C5074,I2424,SOLDADOR RAIO X,H,0.1072,29.63,3.176336
16688,C5074,I2510,ENCARREGADO DE SERVIÇOS,H,0.1072,30.93,3.315696
16689,C5074,G0001,"ACOPLADEIRA EXTERNA EM AÇO PARA SOLDA EM TUBOS EM AÇO CARBONO DN  2""",UN,0.0001,556.86,0.055686
16690,C5074,G0039,ARGÔNIO,M3,0.002,33.08,0.06616
16691,C5074,G0126,"DISCO DE CORTE  DE 7"" PARA TUDOS DE AÇO CARBONO",UN,0.0009,6.59,0.005931
16692,C5074,G0128,"ESCOVA DE AÇO COPO TRANÇADA 4 1/2""",UN,0.0029,26.64,0.07725599999999999
16693,C5074,G0250,PONTA MONTADA ABRASIVA TIPO A-21,UN,0.0001,11.08,0.001108
16694,C5074,G0404,VARETA PARA SOLDA TIG ER70-S3,KG,0.0026,21.92,0.056991999999999994
16695,C5074,I0967,DISCO DE DESBASTE DE 7',UN,0.005,18.21,0.09105
16696,C5059,C5059,"ASSENTAMENTO COMPLEMENTAR COM DEMOLIÇÕES, ESCAVAÇÃO, LIMPEZA, SOLDAGEM DE CONEXÕES E VÁLVULAS COM ACESSÓRIOS, INTERLIGAÇÃO EM REDE NÃO GASEIFICADA, REATERRO, INSTALAÇÃO DE TACHA DE SINALIZAÇÃO, RECOMPOSIÇÕES COM EXCEÇÃO DE ASFALTO E/OU CERÂMICA EM RAMAL DE LIGAÇÃO DE POLIETILENO DE ALTA DENSIDADE (PEAD), JUNTA SOLDADA POR ELETROFUSÃO, DIÂMETRO DE 20MM ATÉ 63MM UTILIZANDO MD E MND COM PERFURATRIZ PNEUMÁTICA TIPO MOLE", M,,,
16697,C5059,G0436,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHP)",H,0.044,5.5984102857142855,0.24633005257142856
16698,C5059,G0437,"GERADOR A GASOLINA, POTÊNCIA 7,5 HP (5,5KW) (CHI)",H,0.176,0.38405314285714287,0.06759335314285714
16699,C5059,G0439,MÁQUINA DE SOLDA ELETROFUSÃO (CHP),H,0.044,1.7176104000000003,0.0755748576
16700,C5059,G0440,MÁQUINA DE SOLDA ELETROFUSÃO (CHI),H,0.176,0.8914389714285715,0.15689325897142858
16701,C5059,G0450,VEÍCULO LEVE PICK UP 4X4 - 147 KW (CHP),H,0.05,123.79222,6.189611
16702,C5059,G0458,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHP)",H,0.044,4.011317541666667,0.17649797183333332
16703,C5059,G0459,"COMPACTADOR MANUAL C/ SOQUETE VIBRATÓRIO - 4,1 KW (CHI)",H,0.176,0.626150875,0.110202554
16704,C5059,I0581,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHI),H,0.176,46.719966666666664,8.222714133333334
16705,C5059,I0703,CAMINHÃO C/CARROCERIA DE MADEIRA HP 136 (CHP),H,0.044,130.74396666666667,5.752734533333333
16706,C5059,I0725,COMPACTADOR DE PLACA VIBRATÓRIA HP 7 (CHP),H,0.05,44.274864916666665,2.2137432458333333
16707,C5059,I0727,COMPRESSOR DE AR 170 PCM (CHP),H,0.11,91.97667825396826,10.117434607936508
16708,C5059,I9422,"PERFURATRIZ PNEUMÁTICA TIPO MOLE PARA PERFURAÇÃO EM SOLO QUALQUER, EXCETO ROCHA SÃ E ARGILA ORGÂNICA, MÉTODO NÃO-DESTRUTIVO, VELOCIDADE 10M/H",H,0.1,9.6,0.9600000000000001
16709,C5059,G0410,SUPERVISOR PEAD (CEGÁS),H,0.22,31.29,6.8838
16710,C5059,I0037,AJUDANTE,H,0.6,18.63,11.177999999999999
16711,C5059,I1009,OPERADOR DE EQUIPAMENTO LEVE,H,0.22,20.85,4.587
16712,C5059,I1879,SOLDADOR,H,0.22,23.83,5.2426
16713,C5059,I2391,PEDREIRO,H,0.22,23.17,5.0974
16714,C5059,I2510,ENCARREGADO DE SERVIÇOS,H,0.22,30.93,6.8046
16715,C5059,G0139,FITA DE SINALIZAÇÃO COM TELA,M,0.3,4.83,1.4489999999999998
16716,C5059,G0228,NITROGÊNIO,M3,0.0218,27.57,0.601026
16717,C5059,I1173,FIO ISOLADO EM PVC 4.00MM2 - 750V,M,1.03,2.32,2.3896
16718,C2530,C2530,-,-,0.0075,29.446466823529413,0.2208485011764706
