Código,Descrição,Unidade,Preço unitário
C1547,"JOELHO OU CURVA PVC ROSC. D=3/4"" (25mm)",UN,12.14
C1542,"JOELHO OU CURVA PVC ROSC. D=1"" (32mm)",UN,14.36
C1541,"JOELHO OU CURVA PVC ROSC. D=1 1/4"" (40mm)",UN,25.27
C1540,"JOELHO OU CURVA PVC ROSC. D=1 1/2"" (50mm)",UN,26.12
C1545,"JOELHO OU CURVA PVC ROSC. D=2"" (60mm)",UN,42.97
C1544,"JOELHO OU CURVA PVC ROSC. D=2 1/2"" (75mm)",UN,61.8
C1546,"JOELHO OU CURVA PVC ROSC. D=3"" (85mm)",UN,63.84
C1548,"JOELHO OU CURVA PVC ROSC. D=4"" (110mm)",UN,130.89
C1551,"JOELHO PVC BRANCO P/ESGOTO D=40mm (1 1/2"")",UN,14.01
C1552,"JOELHO PVC BRANCO P/ESGOTO D=50mm (2"")",UN,14.98
C1554,"JOELHO PVC BRANCO P/ESGOTO D=75mm (3"")",UN,23.31
C1549,"JOELHO PVC BRANCO P/ESGOTO D=100mm (4"")",UN,30.16
C1553,"JOELHO PVC BRANCO P/ESGOTO D=50mm (2"") - JUNTA C/ANÉIS",UN,17.06
C1555,"JOELHO PVC BRANCO P/ESGOTO D=75mm (3"") - JUNTA C/ANÉIS",UN,25.68
C1550,"JOELHO PVC BRANCO P/ESGOTO D=100mm (4"") - JUNTA C/ANÉIS",UN,31.79
C1556,"JOELHO PVC CINZA P/ESGOTO D=150mm (6"") - JUNTA C/ANÉIS",UN,114.92
C1557,"JOELHO PVC CINZA. P/ESGOTO D=150mm (6"") - JUNTA SOLD",UN,100.58
C1558,"JOELHO PVC SOLD. AZUL D=20mmX1/2""",UN,12.29
C1559,"JOELHO PVC SOLD. AZUL D=25mmX3/4""",UN,13.66
C1560,"JOELHO REDUÇÃO PVC SOLD./ROSCA. D=25mmX1/2""",UN,10.43
C1561,"JOELHO REDUÇÃO PVC SOLD./ROSCA. D=32mmX3/4""",UN,17.98
C1568,"JOELHO REDUÇÃO PVC ROSC. D=3/4""X1/2"" (25X20mm)",UN,12.32
C1567,"JOELHO REDUÇÃO PVC ROSC. D=1""X3/4"" (32X25mm)",UN,13.1
C1562,"JOELHO REDUÇÃO PVC SOLD. AZUL D=25mmX1/2""",UN,12.72
C1563,"JOELHO REDUÇÃO PVC SOLD. AZUL D=32mmX3/4""",UN,18.61
C1564,"JOELHO REDUÇÃO PVC SOLD.MARROM D=25X20mm (3/4""X1/2"")",UN,9.73
C1565,"JOELHO REDUÇÃO PVC SOLD.MARROM D=32X25mm (1""X3/4"")",UN,11.25
C1566,"JOELHO REDUÇÃO PVC SOLD.MARROM D=40X32mm (1 1/4""X1"")",UN,15.83
C4388,"JOELHO 45 PVC BRANCO PARA ESGOTO D=40mm (1 1/4"")",UN,16.13
C4669,"JOELHO 45 PVC BRANCO PARA ESGOTO D=50mm (2"")",UN,17.92
C4389,"JOELHO 45 PVC BRANCO PARA ESGOTO D=75mm (3"")",UN,23.96
C4390,"JOELHO 45 PVC BRANCO PARA ESGOTO D=100mm (4"")",UN,27.85
C4391,"JOELHO 45 PVC SOLDÁVEL D=25mm (3/4"")",UN,7.75
C4392,"JOELHO 45 PVC SOLDÁVEL D=32mm (1"")",UN,11.41
C4393,"JOELHO 45 PVC SOLDÁVEL D=40mm (1 1/4"")",UN,13.79
C3994,"JUNÇÃO PVC BRANCO 50 x 50 mm (2"" x 2"")",UN,25.19
C1575,"JUNÇÃO SIMPLES C/INSPEÇÃO PVC P/ESGOTO D=75mm (3"")-C/ANÉIS",UN,36.47
C1574,"JUNÇÃO SIMPLES C/INSPEÇÃO PVC P/ESGOTO D=100mm (4"")-C/ANÉIS",UN,43.17
C1579,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 75X50mm (3""X2"")",UN,29.29
C1580,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 75X50mm (3""X2"")-C/ANÉIS",UN,33.12
C1576,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 100X50mm (4""X2"")-C/ANÉIS",UN,41.21
C1577,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 100X75mm (4""X3"")-C/ANÉIS",UN,47.23
C1578,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 150X100mm (6""X4"")-C/ANÉIS",UN,95.35
C1582,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 100X50mm(4""X2"")",UN,37.24
C1583,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 100X75mm(4""X3"")",UN,43.57
C1581,"JUNÇÃO SIMPLES DE REDUÇÃO PVC P/ESGOTO 150X100mm(6""X4"")",UN,80.52
C1585,"JUNÇÃO SIMPLES C/INSPEÇÃO PVC P/ESGOTO D=75mm (3"")",UN,34.12
C1584,"JUNÇÃO SIMPLES C/INSPEÇÃO PVC P/ESGOTO D=100mm (4"")",UN,40.69
C1572,"JUNÇÃO DUPLA PVC BRANCO D=75mm (3"") - JUNTA C/ANÉIS",UN,41.62
C1570,"JUNÇÃO DUPLA PVC BRANCO D=100mm (4"") - JUNTA C/ANÉIS",UN,63.99
C1573,"JUNÇÃO DUPLA PVC BRANCO D=75mm(3"") - JUNTA SOLD.",UN,36.93
C1571,"JUNÇÃO DUPLA PVC BRANCO D=100mm (4"") - JUNTA SOLD.",UN,59.02
C1720,"LUVA PVC BRANCO ROSC. D=1/2"" (20mm)",UN,5.96
C1724,"LUVA PVC BRANCO ROSC. D=3/4"" (25mm)",UN,6.63
C1719,"LUVA PVC BRANCO ROSC. D=1"" (32mm)",UN,7.93
C1718,"LUVA PVC BRANCO ROSC. D=1 1/4"" (40mm)",UN,12.77
C1717,"LUVA PVC BRANCO ROSC. D=1 1/2""  (50mm)",UN,13.37
C1722,"LUVA PVC BRANCO ROSC. D=2"" (60mm)",UN,19.46
C1721,"LUVA PVC BRANCO ROSC. D=2 1/2"" (75mm)",UN,28.43
C1723,"LUVA PVC BRANCO ROSC. D=3"" (85mm)",UN,36.7
C1725,"LUVA PVC BRANCO ROSC. D=4"" (110mm)",UN,50.37
C1726,"LUVA PVC SOLD. AZUL C/ROSCA MET. D=20mmX1/2""",UN,8.11
C1727,"LUVA PVC SOLD. AZUL C/ROSCA MET. D=25mmX3/4""",UN,9.53
C1728,"LUVA PVC SOLD. MARROM D= 20mm (1/2"")",UN,4.6
C1729,"LUVA PVC SOLD. MARROM D= 25mm (3/4"")",UN,4.89
C1730,"LUVA PVC SOLD. MARROM D= 32mm (1"")",UN,6.02
C1731,"LUVA PVC SOLD. MARROM D= 40mm (1 1/4"")",UN,9.94
C1732,"LUVA PVC SOLD. MARROM D= 50mm (1 1/2"")",UN,11.03
C1733,"LUVA PVC SOLD. MARROM D= 60mm (2"")",UN,17.51
C1734,"LUVA PVC SOLD. MARROM D= 75mm (2 1/2"")",UN,28
C1735,"LUVA PVC SOLD. MARROM D= 85mm (3"")",UN,50.2
C1736,"LUVA PVC SOLD. MARROM D=110mm (4"")",UN,53.95
C1737,"LUVA PVC SOLD./ROSCA. D=20mmX1/2""",UN,7.56
C1738,"LUVA PVC SOLD./ROSCA. D=25mmX1/2""",UN,7.95
C1739,"LUVA PVC SOLD./ROSCA. D=25mmX3/4""",UN,7.89
C1740,"LUVA PVC SOLD./ROSCA. D=32mmX1""",UN,11.02
C1741,"LUVA PVC SOLD./ROSCA. D=40mmX1 1/4""",UN,20.52
C1742,"LUVA PVC SOLD./ROSCA. D=50mmX1 1/2""",UN,31.08
C1752,"LUVA REDUÇÃO PVC ROSC. D=3/4""X1/2"" (25X20mm)",UN,7.4
C1751,"LUVA REDUÇÃO PVC ROSC. D=1""X3/4"" (32X25mm)",UN,8.28
C1753,"LUVA REDUÇÃO PVC SOLDÁVEL AZUL C/ROSCA METÁLICA, D=25mmX1/2""",UN,8.45
C1743,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D= 25X20mm (3/4""X1/2"")",UN,5.21
C1744,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D= 32X25mm (1""X3/4"")",UN,7.33
C1745,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D= 40X32mm (1 1/4""X1"")",UN,13.72
C1748,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D=75X60mm ( 2 1/2""X2"")",UN,23.93
C1749,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D=85X60mm (3""X2"")",UN,31.75
C1750,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D=85X75mm (3""X2 1/2"")",UN,38.27
C1746,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D=110X75mm (4""X2 1/2"")",UN,59.49
C1747,"LUVA REDUÇÃO PVC SOLDÁVEL MARROM D=110X85mm (4""X3"")",UN,55.88
C1760,"LUVA SIMPLES PVC BRANCO P/ESGOTO 40mm (1 1/2"")",UN,7.82
C1761,"LUVA SIMPLES PVC BRANCO P/ESGOTO 50mm (2"")",UN,9.47
C1762,"LUVA SIMPLES PVC BRANCO P/ESGOTO 75mm (3"")",UN,15.07
C1758,"LUVA SIMPLES PVC BRANCO P/ESGOTO 100mm (4"")",UN,19.61
C1759,"LUVA SIMPLES PVC BRANCO P/ESGOTO 150mm (6"")",UN,44.72
C1756,"LUVA SIMPLES PVC BRANCO P/ESGOTO D=50mm (2"")-C/ANÉIS",UN,12.44
C1757,"LUVA SIMPLES PVC BRANCO P/ESGOTO D=75mm (3"")-C/ANÉIS",UN,17.41
C1754,LUVA SIMPLES PVC BRANCO P/ESGOTO D=100mm (4')-C/ANÉIS,UN,22.09
C1755,"LUVA SIMPLES PVC BRANCO P/ESGOTO D=150mm (6"")-C/ANÉIS",UN,58.31
C1697,LUVA DUPLA OU DE CORRER PVC P/ESGOTO 40mm,UN,7.82
C1699,"LUVA DUPLA PVC P/ESGOTO D=50mm (2"")-C/ANÉIS",UN,17.91
C1700,"LUVA DUPLA PVC P/ESGOTO D=75mm (3"")-C/ANÉIS",UN,21.64
C1698,"LUVA DUPLA PVC P/ESGOTO D=100mm (4"")-C/ANÉIS",UN,29.92
C1702,LUVA DUPLA PVC P/ESGOTO 50mm JUNTAS SOLDADAS,UN,14.94
C1703,LUVA DUPLA PVC P/ESGOTO 75mm JUNTAS SOLDADAS,UN,19.3
C1701,LUVA DUPLA PVC P/ESGOTO 100mm JUNTAS SOLDADAS,UN,27.44
C3582,MUTIRÃO MISTO - ADAPTADOR DE JUNTA ELÂSTICA P/SIFÃO METAL PVC P/ESGOTO D=40mm,UN,6.4
C3556,"MUTIRÃO MISTO - ADAPTADOR PVC SOLDÁVEL FLANGES LIVRES P/CX. D'ÁGUA 25mm (3/4"")",UN,12.63
C3585,MUTIRÃO MISTO - CAIXA SIFONADA 150X150X50cm COM GRELHA,UN,41.36
C3588,"MUTIRÃO MISTO - JOELHO PVC BRANCO P/ESGOTO D=40mm(1 1/2"")",UN,8.79
C3589,"MUTIRÃO MISTO - JOELHO PVC BRANCO P/ESGOTO D=50mm(2"")",UN,9.76
C3587,"MUTIRÃO MISTO - JOELHO PVC BRANCO P/ESGOTO D=100mm(4"")",UN,21.78
C3559,"MUTIRÃO MISTO - JOELHO PVC SOLDÁVEL AZUL D=25mmX3/4""",UN,10.31
C3557,"MUTIRÃO MISTO - JOELHO REDUÇÃO 90 PVC SOLDÁVEL C/ROSCA D=25mmX1/2""",UN,6.7
C3558,"MUTIRÃO MISTO - JOELHO REDUÇÃO PVC SOLDÁVEL AZUL D=25mmX1/2""",UN,9.37
C3560,"MUTIRÃO MISTO - LUVA PVC  SOLDÁVEL AZUL C/ROSCA MET. D=25mmX3/4""",UN,7.85
C3561,"MUTIRÃO MISTO - TE PVC SOLDÁVEL MARROM D=25mm (3/4"")",UN,5.86
C3562,"MUTIRÃO MISTO - TUBO PVC SOLDÁVEL MARROM D= 25mm (3/4"")",M,5.78
C3591,"MUTIRÃO MISTO - TUBO PVC BRANCO P/ESGOTO D=40mm(1 1/2"")",M,9.92
C3592,"MUTIRÃO MISTO - TUBO PVC BRANCO P/ESGOTO D=50mm(2"")",M,14.3
C3590,"MUTIRÃO MISTO - TUBO PVC BRANCO P/ESGOTO D=100mm(4"")",M,25.46
C1827,"NIPLE EM PVC C/ ROSCA DE 1 1/4""",UN,15.2
C1828,"NIPLE EM PVC C/ ROSCA DE 2 1/2""",UN,24.47
C2093,RALO SECO  PVC RÍGIDO,UN,49.64
C2145,"REDUÇÃO EXCÊNTRICA PVC BRANCO REFORÇADO  D=75X50mm (3""X2"")",UN,12.86
C2143,"REDUÇÃO EXCÊNTRICA PVC BRANCO REFORÇADO  D=100X75mm (4""X3"")",UN,18.63
C2144,"REDUÇÃO EXCÊNTRICA PVC BRANCO REFORÇADO  D=150x150mm(6""x4"")= (150 X 100MM)",UN,54.02
C2153,"REDUÇÃO PVC BRANCO/CINZA P/ESGOTO D=100X75mm (4""X3"")",UN,29.51
C2151,"REDUÇÃO PVC BRANCO P/ESGOTO D=75X50mm (3""X2"")",UN,22.09
C2146,"REDUÇÃO PVC BRANCO P/ESGOTO D=100X50mm (4""X2"")",UN,18.05
C2149,"REDUÇÃO PVC BRANCO P/ESGOTO D=150X100mm (6""X4"")",UN,50.73
C2152,"REDUÇÃO PVC BRANCO P/ESGOTO D=75X50mm (3""X2"")-C/ANÉIS",UN,37.23
C2147,"REDUÇÃO PVC BRANCO P/ESGOTO D=100X50mm (4""X2"")-C/ANÉIS",UN,41.54
C2148,"REDUÇÃO PVC BRANCO P/ESGOTO D=100X75mm (4""X3"")-C/ANÉIS",UN,55.7
C2150,"REDUÇÃO PVC BRANCO P/ESGOTO D=150X100mm (6""X4"")-C/ANÉIS",UN,71.78
C2320,"TÊ PVC BRANCO C/INSPEÇÃO P/ESGOTO D=150mm(6"")",UN,187.55
C2345,"TÊ PVC BRANCO C/INSPEÇÃO P/ESGOTO D=75mm (3"")",UN,44.3
C2343,"TÊ PVC BRANCO C/INSPEÇÃO P/ESGOTO D=100mm (4"")",UN,52.24
C2346,"TÊ PVC BRANCO C/INSPEÇÃO P/ESGOTO D=75mm (3"")-JUNTAS C/ANEIS",UN,46.65
C2344,"TÊ PVC BRANCO C/INSPEÇÃO P/ESGOTO D=100mm (4"")-JUNTAS C/ANÉIS",UN,54.72
C2350,"TÊ PVC BRANCO C/REDUÇÃO P/ESGOTO D=75X50mm (3""X2"")",UN,29.95
C2347,"TÊ PVC BRANCO C/REDUÇÃO P/ESGOTO D=100X50mm (4""X2"")",UN,36.49
C2348,"TÊ PVC BRANCO C/REDUÇÃO P/ESGOTO D=100X75mm (4""X3"")",UN,38.02
C2349,"TÊ PVC BRANCO C/REDUÇÃO P/ESGOTO D=150X100mm (6""X4"")",UN,99.72
C2360,"TÊ PVC BRANCO P/ESGOTO D=50mm (2"") - JUNTA C/ANÉIS",UN,22.69
C2362,"TÊ PVC BRANCO P/ESGOTO D=75mm (3"") - JUNTA C/ANÉIS",UN,34.71
C2355,"TÊ PVC BRANCO P/ESGOTO D=100mm (4"") - JUNTA C/ANÉIS",UN,41.38
C2351,"TÊ PVC BRANCO P/ ESGOTO D=150mm (6"") - JUNTA C/ANÉIS",UN,88.39
C2358,"TÊ PVC BRANCO P/ESGOTO D=40mm (1 1/2"")-JUNTAS SOLD.",UN,15.94
C2359,TÊ PVC BRANCO P/ESGOTO D=50MM (2')-JUNTAS SOLD.,UN,19.56
C2363,"TÊ PVC BRANCO P/ESGOTO D=75mm (3"")-JUNTAS SOLD.",UN,31.16
C2356,"TÊ PVC BRANCO P/ESGOTO D=100mm (4"")-JUNTAS SOLD.",UN,38.94
C2352,"TÊ PVC BRANCO P/ ESGOTO D=150mm (6"") - JUNTAS SOLD.",UN,68.01
C2361,"TÊ PVC BRANCO P/ESGOTO D=75X50mm (3""X2"")-JUNTAS C/ANÉIS",UN,33.78
C2353,"TÊ PVC BRANCO P/ESGOTO D=100X50mm (4""X2"")-JUNTAS C/ANÉIS",UN,40.46
C2354,"TÊ PVC BRANCO P/ESGOTO D=100X75mm (4""X3"")-JUNTAS C/ANÉIS",UN,64.37
C2357,"TÊ PVC BRANCO P/ESGOTO D=150X100mm (6""X4"")-JUNTAS C/ANÉIS",UN,114.55
C2364,"TÊ PVC BRANCO ROSC. D=  1/2"" (20mm)",UN,12.25
C2371,TÊ PVC BRANCO ROSC. D=3/4' (25mm),UN,13.03
C2366,"TÊ PVC BRANCO ROSC. D= 1"" (32mm)",UN,19
C2365,"TÊ PVC BRANCO ROSC. D= 1 1/2"" (50mm)",UN,35.58
C2368,"TÊ PVC BRANCO ROSC. D=1 1/4"" (40mm)",UN,33.22
C2367,"TÊ PVC BRANCO ROSC. D= 2"" (60mm)",UN,59.23
C2369,"TÊ PVC BRANCO ROSC. D=2 1/2"" (75mm)",UN,72.82
C2370,"TÊ PVC BRANCO ROSC. D=3"" (85mm)",UN,88.28
C2372,"TÊ PVC BRANCO ROSC. D=4"" (110mm)",UN,168.51
C2373,"TÊ PVC CINZA C/INSPEÇÃO P/ESGOTO D=150mm (6"")-JUNTAS C/ANÉIS",UN,269.7
C2375,"TÊ PVC CINZA C/INSPEÇÃO P/ESGOTO D=150mm (6"")-JUNTAS SOLD.",UN,256.11
C2376,TÊ PVC CINZA P/ESGOTO D=150MM (6')-JUNTAS C/ANÉIS,UN,167.99
C2377,TÊ PVC CINZA P/ESGOTO D=150MM (6')-JUNTAS SOLD.,UN,147.61
C2378,"TÊ PVC SOLD./ROSCA AZUL D=20mmX20mmX1/2""",UN,16.18
C2379,TÊ PVC SOLD./ROSCA AZUL D=25mmX25mmX3/4',UN,17.36
C2380,"TÊ PVC SOLD. MARROM D= 20mm (1/2"")",UN,9.07
C2381,"TÊ PVC SOLD. MARROM D= 25mm (3/4"")",UN,9.4
C2382,"TÊ PVC SOLD. MARROM D= 32mm (1"")",UN,11.9
C2383,"TÊ PVC SOLD. MARROM D= 40mm (1 1/4"")",UN,20.6
C2384,"TÊ PVC SOLD. MARROM D= 50mm (1 1/2"")",UN,21.84
C2385,"TÊ PVC SOLD. MARROM D= 60mm (2"")",UN,38.34
C2386,"TÊ PVC SOLD. MARROM D= 75mm (2 1/2"")",UN,69.46
C2387,"TÊ PVC SOLD. MARROM D= 85mm (3"")",UN,101.01
C2388,"TÊ PVC SOLD. MARROM D=110mm (4"")",UN,162.3
C2389,"TE PVC SOLD./ROSCA D=20mmX20mmX1/2""",UN,11.12
C2390,"TE PVC SOLD./ROSCA D=25mmX25mmX3/4""",UN,12.7
C2391,"TE PVC SOLD./ROSCA D=32mmX32mmX1""",UN,17.82
C2400,"TE REDUCAO PVC ROSCAVEL DE 3/4"" X 1/2"" PARA AGUA FRIA
",UN,15.13
C2399,"TE REDUCAO PVC ROSCAVEL DE 1"" X 3/4"" PARA AGUA FRIA
",UN,17.64
C2398,"TE REDUCAO PVC ROSCAVEL DE 1 1/2"" X 3/4"" PARA AGUA FRIA
",UN,33.61
C5126,"TE REDUCAO PVC ROSCAVEL DE 1 1/4"" X 1"" PARA AGUA FRIA
",UN,33.31
C5127,"TE REDUCAO PVC ROSCAVEL DE 1 1/2"" X 1 1/4"" PARA AGUA FRIA",UN,33.76
C2393,"TÊ REDUÇÃO PVC SOLD./ROSCA AZUL D=32mmX32mmX3/4""",UN,22.36
C2392,"TÊ REDUÇÃO PVC SOLD./ROSCA AZUL D=25mmX25mmX1/2""",UN,15.56
C2404,"TE REDUCAO PVC SOLDAVEL DE 25X20 MM PARA AGUA FRIA
",UN,11.2
C2405,"TE REDUCAO PVC SOLDAVEL DE 32X25 MM PARA AGUA FRIA
",UN,13.8
C2406,"TE REDUCAO PVC SOLDAVEL DE  40X32MM PARA AGUA FRIA
",UN,21.87
C2407,TE REDUCAO PVC SOLDAVEL DE  50X20MM PARA ÁGUA FRIA,UN,22.79
C2408,TE REDUCAO PVC SOLDAVEL DE  50X25MM PARA AGUA FRIA,UN,21.41
C2409,TE REDUCAO PVC SOLDAVEL DE  50X32MM PARA AGUA FRIA,UN,26.06
C2410,"TE REDUCAO PVC SOLDAVEL DE  50X40MM PARA AGUA FRIA
",UN,28.84
C2411,TE REDUCAO PVC SOLDAVEL DE  75X50MM PARA AGUA FRIA,UN,62.92
C2412,"TE REDUCAO PVC ROSCAVEL DE 2 1/2"" X 2"" PARA AGUA FRIA
",UN,73.37
C2413,TE REDUCAO PVC SOLDAVEL DE  85X60MM PARA AGUA FRIA,UN,85.89
C2414,"TE REDUCAO PVC ROSCAVEL DE 3"" X 2 1/2"" PARA AGUA FRIA
",UN,75.34
C2401,TE REDUCAO PVC SOLDAVEL DE 110X60MM PARA AGUA FRIA,UN,152.28
C2402,TE REDUCAO PVC SOLDAVEL DE 110X75MM PARA AGUA FRIA,UN,157.5
C2403,TE REDUCAO PVC SOLDAVEL DE 110X85MM PARA AGUA FRIA,UN,174.67
C2341,"TÊ REDUÇÃO PVC SOLD./ROSCA. D=25mmX25mmX1/2""",UN,12.63
C2342,"TÊ REDUÇÃO PVC SOLD./ROSCA. D=32mmX32mmX3/4""",UN,17.79
C4822,TERMINAL DE VENTILAÇÃO PVC 50MM,UN,12.09
C4823,TERMINAL DE VENTILACAO PVC 75 MM,UN,15.76
C4824,"TERMINAL DE VENTILAÇÃO PVC 100MM
",UN,20.33
C2595,"TUBO PVC BRANCO P/ESGOTO D=40mm (1 1/2"")",M,14.39
C2596,"TUBO PVC BRANCO P/ESGOTO D=50mm (2"")",M,19.89
C2598,"TUBO PVC BRANCO P/ESGOTO D=75mm (3"")",M,31.33
C2593,TUBO PVC BRANCO P/ESGOTO D=100MM (4'),M,35.15
C2597,"TUBO PVC BRANCO P/ESGOTO D=50mm (2"") - JUNTA C/ANÉIS",M,20
C2599,"TUBO PVC BRANCO P/ESGOTO D=75mm (3"") - JUNTA C/ANÉIS",M,30.94
C2594,"TUBO PVC BRANCO P/ESGOTO D=100mm (4"") - JUNTA C/ANÉIS",M,34.25
C2600,"TUBO PVC BRANCO RÍGIDO ESGOTO D=150mm (6"")",M,52.82
C2601,"TUBO PVC BRANCO RÍGIDO ESGOTO D=200mm (8"")",M,94.93
C2602,"TUBO PVC BRANCO RÍGIDO ESGOTO D=250mm (10"")",M,107.48
C2603,"TUBO PVC BRANCO RÍGIDO ESGOTO D=300mm (12"")",M,147.98
C2613,"TUBO PVC CINZA RÍGIDO ESGOTO D=150mm (6"") JUNTA C/ANÉIS",M,91.99
C2614,"TUBO PVC CINZA RÍGIDO ESGOTO D=150mm (6"") JUNTA SOLD.",M,92.32
C2607,"TUBO PVC ROSC. BRANCO D= 1/2"" (20mm)",M,10.39
C2611,"TUBO PVC ROSC. BRANCO D= 3/4"" (25mm)",M,14.46
C2606,"TUBO PVC ROSC. BRANCO D= 1"" (32mm)",M,22.55
C2605,"TUBO PVC ROSC. BRANCO D= 1 1/4"" (40mm)",M,31.5
C2604,"TUBO PVC ROSC. BRANCO D= 1 1/2"" (50mm)",M,38.83
C2609,"TUBO PVC ROSC. BRANCO D= 2"" (60mm)",M,52.87
C2608,"TUBO PVC ROSC. BRANCO D= 2 1/2"" (75mm)",M,79.35
C2610,"TUBO PVC ROSC. BRANCO D= 3"" (85mm)",M,100.34
C2612,"TUBO PVC ROSC. BRANCO D= 4""(110mm)",M,118.46
C4760,"TUBO PVC SÉRIE REFORÇADA P/ ESGOTO D=100MM (4"") - INCLUSIVE CONEXÕES                                     
",M,45.49
C4763,"TUBO PVC SÉRIE REFORÇADA P/ ESGOTO D=150MM (6"") JUNTA COM ANEL                                
",M,63.38
C2615,"TUBO PVC SOLD. MARROM D= 20mm (1/2"")",M,5.92
C2616,"TUBO PVC SOLD. MARROM D= 25mm (3/4"")",M,8.01
C2617,"TUBO PVC SOLD. MARROM D= 32mm (1"")",M,12.2
C2618,"TUBO PVC SOLD. MARROM D= 40mm (1 1/4"")",M,18.19
C2619,"TUBO PVC SOLD. MARROM D= 50mm (1 1/2"")",M,21.3
C2620,"TUBO PVC SOLD. MARROM D= 60mm (2"")",M,31.58
C2621,"TUBO PVC SOLD. MARROM D= 75mm (2 1/2"")",M,49.04
C2622,"TUBO PVC SOLD. MARROM D= 85mm (3"")",M,59.94
C2623,"TUBO PVC SOLD. MARROM D=110mm (4"")",M,85.83
C2624,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 20mm (1/2"")",M,17.95
C2625,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 25mm(3/4"")",M,21.37
C2626,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 32mm(1"")",M,28.74
C2627,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 40mm (1 1/4"")",M,35.4
C2628,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 50mm (1 1/2"")",M,40.58
C2629,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D= 60mm (2"")",M,55.52
C2631,"TUBO PVC SOLD. MARROM INCL.CONEXÕES D=75mm (2 1/2"")",M,81.69
C2632,TUBO PVC SOLD. MARROM INCL.CONEXÕES D=85MM(3'),M,92.96
C2630,TUBO PVC SOLD. MARROM INCL.CONEXÕES D=110mm(4'),M,128.28
C2648,"UNIÃO PVC BRANCO ROSC. D=1/2"" (20mm)",UN,9.98
C2652,"UNIÃO PVC BRANCO ROSC. D=3/4"" (25mm)",UN,14.13
C2647,"UNIÃO PVC BRANCO ROSC. D=1"" (32mm)",UN,21.83
C2646,"UNIÃO PVC BRANCO ROSC. D=1 1/4"" (40mm)",UN,35.3
C2645,"UNIÃO PVC BRANCO ROSC. D=1 1/2"" (50mm)",UN,38.47
C2650,"UNIÃO PVC BRANCO ROSC. D=2"" (60mm)",UN,76.99
C2651,"UNIÃO PVC BRANCO ROSC. D=3"" (85mm)",UN,190.14
C2649,"UNIÃO PVC BRANCO ROSC. D=2 1/2"" (75mm)",UN,152.17
C2653,"UNIÃO PVC BRANCO ROSC. D=4"" (110mm)",UN,364.71
C2654,"UNIÃO PVC SOLD. MARROM D= 20mm (1/2"")",UN,10.17
C2655,"UNIÃO PVC SOLD. MARROM D= 25mm (3/4"")",UN,11.56
C2656,"UNIÃO PVC SOLD. MARROM D= 32mm (1"")",UN,16.38
C2657,"UNIÃO PVC SOLD. MARROM D= 40mm (1 1/4"")",UN,29.89
C2658,"UNIÃO PVC SOLD. MARROM D= 50mm (1 1/2"")",UN,32.38
C2659,"UNIÃO PVC SOLD. MARROM D= 60mm (2"")",UN,70.61
C2660,"UNIÃO PVC SOLD. MARROM D= 75mm (2 1/2"")",UN,137.83
C2661,"UNIÃO PVC SOLD. MARROM D= 85mm (3"")",UN,206.03
C2662,"UNIÃO PVC SOLD. MARROM D=110mm (4"")",UN,372.39
C4188,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 300mm",M,14.26
C4189,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 350mm",M,14.93
C4190,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 400mm",M,16.91
C4191,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 450mm",M,17.8
C4192,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 500mm",M,18.72
C4193,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 600mm",M,20.62
C4194,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 700mm",M,23.21
C4195,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 800mm",M,27.77
C4196,"ASSENTAMENTO DE TUBO, PEÇAS E CONEXÕES EM PRFV, JE DN 900mm",M,31.19
